City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Eureka,US,40.8021,-124.1637,54.0,76,1,12.66,clear sky
322,Olafsvik,IS,64.8945,-23.7142,40.5,75,98,17.25,overcast clouds
323,Upleta,IN,21.7333,70.2833,67.69,87,0,4.05,clear sky
324,Port-Cartier,CA,50.0334,-66.8654,28.99,46,75,16.11,broken clouds
325,Tomatlan,MX,19.9333,-105.25,86.49,48,0,8.84,clear sky
326,Minbu,MM,20.1833,94.8833,68.83,33,43,1.5,scattered clouds
327,Inhambane,MZ,-23.865,35.3833,73.47,79,1,5.64,clear sky
328,Tiksi,RU,71.6872,128.8694,-16.29,87,100,6.15,overcast clouds
329,Port Lincoln,AU,-34.7333,135.8667,59.92,82,16,15.77,few clouds
330,Tursunzoda,TJ,38.5144,68.2333,39.2,87,1,2.24,mist
331,Iranshahr,IR,27.2025,60.6848,64.4,29,0,4.61,clear sky
332,Luderitz,NA,-26.6481,15.1594,66.06,69,0,16.24,clear sky
333,Biscarrosse,FR,44.3945,-1.1672,46.4,87,90,1.14,overcast clouds
334,Chachapoyas,PE,-6.2317,-77.869,61.02,85,96,2.04,moderate rain
335,Pangkalanbuun,ID,-2.6833,111.6167,71.35,95,97,2.64,overcast clouds
336,Zaranj,AF,30.9667,61.8833,51.8,35,0,6.91,clear sky
337,Maarianhamina,AX,60.0973,19.9348,30.2,59,75,17.27,light snow
338,Thunder Bay,CA,48.4001,-89.3168,35.01,64,90,16.11,overcast clouds
339,Butembo,CD,0.15,29.2833,58.1,100,73,3.29,broken clouds
340,Gornopravdinsk,RU,60.05,69.9,7.83,95,100,4.43,overcast clouds
341,Ponta Delgada,PT,37.7333,-25.6667,62.6,88,40,4.61,scattered clouds
342,Anloga,GH,5.7947,0.8973,86.0,74,20,9.22,few clouds
343,Koutsouras,GR,35.0339,25.9469,57.0,70,5,11.3,clear sky
